	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
0	DOC#0	0.0	0.0	0.0	0.0	0.008
1	DOC#1	0.119	0.67	0.971	0.998	1.0
2	DOC#3	0.161	0.776	0.992	1.0	1.0
3	DOC#4	0.0	0.222	0.628	0.91	0.998
4	DOC#5	0.178	0.68	0.967	0.999	1.0
5	DOC#6	0.22	0.701	0.96	0.999	1.0
6	DOC#7	0.387	0.851	0.986	0.998	1.0
7	DOC#9	0.225	0.708	0.966	1.0	1.0
8	DOC#10	0.0	0.0	0.0	0.0	0.0
9	DOC#11	0.0	0.0	0.0	0.55	0.982
10	DOC#12	0.0	0.193	0.692	0.963	0.998
11	DOC#13	0.234	0.704	0.962	1.0	1.0
12	DOC#14	0.0	0.0	0.0	0.0	0.0
13	DOC#15	0.0	0.0	0.0	0.24	0.648
14	DOC#16	0.0	0.0	0.0	0.0	0.0
15	DOC#17	0.0	0.0	0.0	0.001	0.021
16	DOC#19	0.209	0.672	0.948	0.997	1.0
17	DOC#20	0.409	0.838	0.988	1.0	1.0
18	DOC#21	0.0	0.0	0.0	0.0	0.0
19	DOC#22	0.0	0.005	0.059	0.313	0.667
20	DOC#23	0.0	0.0	0.0	0.0	0.05
21	DOC#25	0.0	0.0	0.0	0.0	0.101
22	DOC#28	0.0	0.0	0.0	0.02	0.143
23	DOC#29	0.0	0.0	0.342	0.889	1.0
24	DOC#30	0.0	0.728	0.986	1.0	1.0
25	DOC#31	0.0	0.0	0.0	0.055	0.397
26	DOC#32	0.0	0.0	0.0	0.0	0.0
27	DOC#33	0.0	0.0	0.0	0.0	0.0
28	DOC#34	0.0	0.0	0.284	0.673	0.926
29	DOC#35	0.0	0.0	0.04	0.256	0.466
30	DOC#36	0.0	0.153	0.342	0.653	0.918
31	DOC#37	0.227	0.676	0.954	0.999	1.0
32	DOC#38	0.0	0.0	0.0	0.0	0.0
33	DOC#39	0.0	0.0	0.0	0.0	0.0
34	DOC#41	0.0	0.0	0.0	0.0	0.342
35	DOC#42	0.0	0.0	0.265	0.827	0.997
36	DOC#43	0.17	0.83	0.99	0.999	1.0
37	DOC#44	0.412	0.872	0.993	1.0	1.0
38	DOC#45	0.398	0.862	0.996	1.0	1.0
39	DOC#47	0.0	0.002	0.113	0.404	0.748
40	DOC#48	0.399	0.847	0.988	0.999	1.0
41	DOC#49	0.0	0.0	0.0	0.112	0.23
42	DOC#51	0.0	0.0	0.0	0.0	0.001
43	DOC#52	0.0	0.509	0.97	1.0	1.0
44	DOC#53	0.252	0.711	0.951	0.999	1.0
45	DOC#54	0.0	0.0	0.0	0.0	0.0
46	DOC#55	0.0	0.0	0.0	0.061	0.423
47	DOC#57	0.0	0.0	0.0	0.0	0.0
48	DOC#58	0.0	0.0	0.037	0.438	0.768
49	DOC#59	0.0	0.0	0.0	0.001	0.017
50	DOC#60	0.381	0.87	0.992	1.0	1.0
51	DOC#62	0.0	0.428	0.875	0.999	1.0
52	DOC#63	0.0	0.0	0.517	0.956	0.999
53	DOC#64	0.0	0.0	0.0	0.673	0.987
54	DOC#65	0.0	0.0	0.0	0.364	0.815
55	DOC#66	0.0	0.0	0.0	0.095	0.315
56	DOC#68	0.0	0.0	0.029	0.289	0.808
57	DOC#69	0.0	0.0	0.444	0.86	0.989
58	DOC#70	0.0	0.0	0.0	0.0	0.0
59	DOC#71	0.0	0.003	0.061	0.311	0.671
60	DOC#72	0.0	0.0	0.0	0.0	0.029
61	DOC#73	0.0	0.0	0.0	0.066	0.57
62	DOC#74	0.0	0.0	0.0	0.0	0.042
63	DOC#75	0.0	0.0	0.0	0.0	0.0
64	DOC#76	0.657	0.963	1.0	1.0	1.0
65	DOC#79	0.0	0.0	0.0	0.0	0.0
66	DOC#80	0.0	0.0	0.0	0.004	0.035
67	DOC#81	0.14	0.847	0.993	1.0	1.0
68	DOC#82	0.0	0.0	0.805	0.993	1.0
69	DOC#83	0.0	0.064	0.207	0.238	0.241
70	DOC#84	0.0	0.0	0.706	0.982	1.0
71	DOC#85	0.0	0.0	0.0	0.005	0.094
72	DOC#86	0.372	0.849	0.993	1.0	1.0
73	DOC#87	0.0	0.0	0.022	0.164	0.466
74	DOC#88	0.0	0.0	0.609	0.967	1.0
75	DOC#89	0.0	0.0	0.0	0.0	0.0
76	DOC#90	0.0	0.0	0.0	0.0	0.0
77	DOC#91	0.224	0.686	0.949	0.999	1.0
78	DOC#92	0.0	0.0	0.0	0.0	0.0
79	DOC#93	0.642	0.97	1.0	1.0	1.0
80	DOC#94	0.152	0.243	0.63	0.928	0.993
81	DOC#96	0.0	0.348	0.759	0.951	0.995
82	DOC#97	0.0	0.0	0.013	0.089	0.333
